iter	Logloss
0	0.6844134706
1	0.6818289334
2	0.6776936545
3	0.6736435909
4	0.6669947551
5	0.6659579372
6	0.6648925518
7	0.6619472637
8	0.6599265706
9	0.6539126078
10	0.6524457162
11	0.6509143283
12	0.6456124587
13	0.6430522966
14	0.6425876103
15	0.6422274443
16	0.6410757712
17	0.6399405268
18	0.6379977852
19	0.6361465476
20	0.6346680048
21	0.6314639997
22	0.6307991454
23	0.6264395671
24	0.6258324329
25	0.6253190453
26	0.6237712772
27	0.6209327032
28	0.6205873085
29	0.6189992728
30	0.6180493277
31	0.6169551797
32	0.6154503606
33	0.6142810886
34	0.6136819494
35	0.6119241171
36	0.6102687575
37	0.6093780438
38	0.6091904533
39	0.6086367493
40	0.6081631417
41	0.6076928979
42	0.6066418938
43	0.6055405308
44	0.6016365713
45	0.6009584081
46	0.5995128204
47	0.5986169392
48	0.597261978
49	0.5959607394
50	0.5951304758
51	0.5948480663
52	0.5939122587
53	0.5934796013
54	0.5920047147
55	0.5905054043
56	0.5895621867
57	0.5894418227
58	0.5883168158
59	0.58710284
60	0.5868079017
61	0.5847836011
62	0.5844918803
63	0.5806820573
64	0.5775978313
65	0.5772090977
66	0.575945738
67	0.5746860345
68	0.5741502218
69	0.5729466297
70	0.5708805503
71	0.5695930592
72	0.5690499827
73	0.5681307502
74	0.5662922851
75	0.5654043502
76	0.5648569837
77	0.5642155294
78	0.5627066153
79	0.5611293534
80	0.5588851897
81	0.558713638
82	0.5556184432
83	0.5549346251
84	0.5532477242
85	0.5529361133
86	0.5523465292
87	0.5518278278
88	0.5512790963
89	0.5507077447
90	0.54900773
91	0.5482397204
92	0.5471352374
93	0.5465332707
94	0.5457884661
95	0.5451868407
96	0.5447550608
97	0.5426536863
98	0.5424235369
99	0.5418094802
100	0.5411599334
101	0.5408442763
102	0.5402680984
103	0.5397957096
104	0.5394751288
105	0.5387427067
106	0.5384435272
107	0.5373252966
108	0.5363704277
109	0.535388015
110	0.5351617656
111	0.5331486776
112	0.5324534519
113	0.5313634964
114	0.5302403421
115	0.5293890185
116	0.5289130222
117	0.5269134866
118	0.5264959417
119	0.5260779093
120	0.5258029586
121	0.5246208653
122	0.5223369215
123	0.5221335847
124	0.5213141437
125	0.5209920516
126	0.5198451559
127	0.5191762553
128	0.5189333822
129	0.5182047139
130	0.5172065549
131	0.515251187
132	0.5148499734
133	0.513612305
134	0.5124236305
135	0.5124213392
136	0.5118367764
137	0.5108975563
138	0.51042975
139	0.5099612124
140	0.5094755636
141	0.5086488101
142	0.5075594396
143	0.5073762853
144	0.5066642409
145	0.5058080423
146	0.5055770154
147	0.5049005585
148	0.5036590388
149	0.502896538
150	0.5023852466
151	0.501824035
152	0.5001279204
153	0.4998452183
154	0.4984948884
155	0.497821844
156	0.4962935273
157	0.4952537844
158	0.4947138279
159	0.4940154335
160	0.4934436919
161	0.492918653
162	0.4924261791
163	0.4913391486
164	0.4905096164
165	0.4899568873
166	0.4889809096
167	0.488210365
168	0.4871105132
169	0.4861489168
170	0.4857005131
171	0.484388062
172	0.4833971668
173	0.4816752145
174	0.4803406308
175	0.4793255068
176	0.478311699
177	0.4774745129
178	0.4768295487
179	0.4747262241
180	0.4742855229
181	0.4734072892
182	0.4722857436
183	0.4712084632
184	0.4709342924
185	0.4703889247
186	0.469702474
187	0.4680123069
188	0.4669391702
189	0.465152624
190	0.4636445873
191	0.4625708169
192	0.4610709215
193	0.4599750672
194	0.458634926
195	0.4580929708
196	0.4573852163
197	0.4564061674
198	0.4547765479
199	0.4539187405
