model_id,val_accuracy,test_accuracy,val_f1,test_f1,val_precision,test_precision,val_recall,test_recall,val_equalized_odds,test_equalized_odds,val_cuae,test_cuae,val_dem_parity,test_dem_parity,val_equal_opportunity,test_equal_opportunity,val_predictive_equality,test_predictive_equality,val_predictive_parity,test_predictive_parity,val_neg_predictive_parity,test_neg_predictive_parity,val_acc_robustness,test_acc_robustness
rtc_1,0.7057142857142857,0.7066666666666668,0.32331819585912525,0.3118957145822961,0.6320677451971688,0.5383102189867678,0.29047619047619044,0.2822222222222222,0.29293506493506494,0.30350877192982456,0.6680125786163522,0.5017543859649123,0.1894357669357669,0.24723432343234322,0.29293506493506494,0.20571428571428568,0.15836424445120095,0.23684210526315788,0.6166666666666666,0.4267857142857143,0.2857641009493893,0.2521680975488366,0.027642880817111904,0.021852940772540512
rtc_2,0.7057142857142857,0.7066666666666668,0.32331819585912525,0.3118957145822961,0.6320677451971688,0.5383102189867678,0.29047619047619044,0.2822222222222222,0.29293506493506494,0.30350877192982456,0.6680125786163522,0.5017543859649123,0.1894357669357669,0.24723432343234322,0.29293506493506494,0.20571428571428568,0.15836424445120095,0.23684210526315788,0.6166666666666666,0.4267857142857143,0.2857641009493893,0.2521680975488366,0.028011159308734008,0.021852940772540512
rtc_3,0.7042857142857144,0.7053333333333335,0.32614540896859634,0.3143298198255079,0.6235761746559089,0.5336336035765523,0.3,0.2866666666666666,0.2853160173160173,0.2964322571133716,0.6177948717948717,0.5002898550724637,0.20743172207457922,0.23923432343234322,0.2853160173160173,0.20571428571428568,0.1620006080875646,0.229765590446705,0.6132161172161171,0.44033613445378156,0.25392037786774635,0.2514689118270601,0.029579200055994216,0.02329929490042873
rtc_4,0.7042857142857143,0.7086666666666668,0.3179242244154446,0.3105771117436367,0.6273309030919056,0.547544986945578,0.2857142857142857,0.27999999999999997,0.29293506493506494,0.30350877192982456,0.6680125786163522,0.5350877192982456,0.1887554948269234,0.24723432343234322,0.29293506493506494,0.20571428571428568,0.15836424445120095,0.23684210526315788,0.6166666666666666,0.46011904761904765,0.2857641009493893,0.2524977349476979,0.028824721902405058,0.021476137683389875
rtc_5,0.6928571428571428,0.7026666666666667,0.3496784696784697,0.3515649004336712,0.40025510204081627,0.4173232381167267,0.3476190476190476,0.3466666666666667,0.37142857142857144,0.33539594540386536,0.5141196581196581,0.38114979757085016,0.22942185227899511,0.2805432098765432,0.37142857142857144,0.13308970099667775,0.18712176712176715,0.3315199764116173,0.4782222222222222,0.1783624505398699,0.24048005453665833,0.311093008722115,0.032824488634505364,0.02020305089104422
rtc_6,0.7028571428571428,0.7053333333333335,0.31686658295589937,0.31106232337457335,0.6220677451971689,0.5316361366730857,0.2857142857142857,0.2822222222222222,0.29293506493506494,0.30350877192982456,0.6513459119496855,0.5017543859649123,0.19283712747998463,0.24723432343234322,0.29293506493506494,0.20571428571428568,0.15836424445120095,0.23684210526315788,0.5999999999999999,0.4267857142857143,0.28747141802256004,0.2524977349476979,0.02708082140326114,0.021476137683389875
rtc_7,0.7028571428571428,0.7053333333333335,0.31686658295589937,0.31106232337457335,0.6220677451971689,0.5316361366730857,0.2857142857142857,0.2822222222222222,0.29293506493506494,0.30350877192982456,0.6513459119496855,0.5017543859649123,0.19283712747998463,0.24723432343234322,0.29293506493506494,0.20571428571428568,0.15836424445120095,0.23684210526315788,0.5999999999999999,0.4267857142857143,0.28747141802256004,0.2524977349476979,0.027642880817111904,0.021476137683389875
rtc_8,0.7042857142857144,0.7053333333333335,0.32614540896859634,0.3143298198255079,0.6235761746559089,0.5336336035765523,0.3,0.2866666666666666,0.2853160173160173,0.2964322571133716,0.6177948717948717,0.5002898550724637,0.20743172207457922,0.23923432343234322,0.2853160173160173,0.20571428571428568,0.1620006080875646,0.229765590446705,0.6132161172161171,0.44033613445378156,0.25392037786774635,0.2514689118270601,0.029579200055994216,0.02329929490042873
rtc_9,0.7042857142857143,0.7086666666666668,0.3179242244154446,0.3105771117436367,0.6273309030919056,0.547544986945578,0.2857142857142857,0.27999999999999997,0.29293506493506494,0.30350877192982456,0.6680125786163522,0.5350877192982456,0.1887554948269234,0.24723432343234322,0.29293506493506494,0.20571428571428568,0.15836424445120095,0.23684210526315788,0.6166666666666666,0.46011904761904765,0.2857641009493893,0.2524977349476979,0.028824721902405058,0.021476137683389875
rtc_10,0.6928571428571428,0.7026666666666667,0.3496784696784697,0.3515649004336712,0.40025510204081627,0.4173232381167267,0.3476190476190476,0.3466666666666667,0.37142857142857144,0.33539594540386536,0.5141196581196581,0.38114979757085016,0.22942185227899511,0.2805432098765432,0.37142857142857144,0.13308970099667775,0.18712176712176715,0.3315199764116173,0.4782222222222222,0.1783624505398699,0.24048005453665833,0.311093008722115,0.032824488634505364,0.02020305089104422
