model_id,accuracy,f1,precision,recall,equalized_odds,cuae,dem_parity,equal_opportunity,predictive_equality,predictive_parity,neg_predictive_parity,acc_robustness
rtc_1,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.021852940772540512
rtc_2,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.021852940772540512
rtc_3,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.02329929490042873
rtc_4,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.021476137683389875
rtc_5,0.6933333333333334,0.5106382978723404,0.4897959183673469,0.5333333333333333,0.5087719298245614,0.3421052631578947,0.42666666666666664,0.16666666666666663,0.5087719298245614,0.020833333333333315,0.3421052631578947,0.02020305089104422
rtc_6,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.021476137683389875
rtc_7,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.021476137683389875
rtc_8,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.02329929490042873
rtc_9,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.021476137683389875
rtc_10,0.6933333333333334,0.5106382978723404,0.4897959183673469,0.5333333333333333,0.5087719298245614,0.3421052631578947,0.42666666666666664,0.16666666666666663,0.5087719298245614,0.020833333333333315,0.3421052631578947,0.02020305089104422
rtc_11,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.021476137683389875
rtc_12,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.021476137683389875
rtc_13,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.02329929490042873
rtc_14,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.021476137683389875
rtc_15,0.6933333333333334,0.5106382978723404,0.4897959183673469,0.5333333333333333,0.5087719298245614,0.3421052631578947,0.42666666666666664,0.16666666666666663,0.5087719298245614,0.020833333333333315,0.3421052631578947,0.02020305089104422
rtc_16,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.021476137683389875
rtc_17,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.021476137683389875
rtc_18,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.023211538298959913
rtc_19,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.021476137683389875
rtc_20,0.6933333333333334,0.5106382978723404,0.4897959183673469,0.5333333333333333,0.5087719298245614,0.3421052631578947,0.42666666666666664,0.16666666666666663,0.5087719298245614,0.020833333333333315,0.3421052631578947,0.02020305089104422
rtc_21,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.021476137683389875
rtc_22,0.6833333333333333,0.5077720207253886,0.47572815533980584,0.5444444444444444,0.45614035087719296,0.33333333333333337,0.3866666666666666,0.16666666666666663,0.45614035087719296,0.07142857142857145,0.33333333333333337,0.021476137683389875
